routenummer,bezoekdatum,soort,wetenschappelijke naam,sectie,aantal
2096,19-07-19 15:00,dagpauwoog,Aglais io,1,2
2096,19-07-19 15:00,groot koolwitje,Pieris brassicae,1,1
2096,19-07-19 15:00,klein koolwitje,Pieris rapae,6,1
2096,29-07-19 16:00,distelvlinder,Vanessa cardui,1,10
2096,29-07-19 16:00,distelvlinder,Vanessa cardui,6,8
2096,29-07-19 16:00,klein koolwitje,Pieris rapae,1,1
2096,29-07-19 16:00,klein koolwitje,Pieris rapae,6,1
2096,04-08-19 14:00,atalanta,Vanessa atalanta,6,1
2096,04-08-19 14:00,distelvlinder,Vanessa cardui,1,20
2096,04-08-19 14:00,klein koolwitje,Pieris rapae,6,2
2096,14-08-19 15:00,atalanta,Vanessa atalanta,1,1
2096,14-08-19 15:00,distelvlinder,Vanessa cardui,1,10
2096,14-08-19 15:00,distelvlinder,Vanessa cardui,6,4
2096,14-08-19 15:00,klein koolwitje,Pieris rapae,6,1
2096,30-08-19 15:55,atalanta,Vanessa atalanta,1,2
2096,30-08-19 15:55,distelvlinder,Vanessa cardui,6,2
2096,30-08-19 15:55,klein koolwitje,Pieris rapae,6,1
2096,01-09-19 15:30,atalanta,Vanessa atalanta,1,1
2096,01-09-19 15:30,distelvlinder,Vanessa cardui,1,1
2096,14-09-19 15:40,bont zandoogje,Pararge aegeria,1,2
2096,14-09-19 15:40,dagpauwoog,Aglais io,1,1
2096,14-09-19 15:40,distelvlinder,Vanessa cardui,1,1
2096,14-09-19 15:40,gehakkelde aurelia,Polygonia c-album,1,1
2096,15-09-19 13:30,klein koolwitje,Pieris rapae,1,1
2096,15-09-19 13:30,klein koolwitje,Pieris rapae,2,1
2096,05-04-20 13:00,atalanta,Vanessa atalanta,1,1
2096,11-04-20 13:24,NVT,,0,0
2096,23-04-20 13:25,NVT,,0,0
2096,06-05-20 14:51,NVT,,0,0
2096,07-05-20 11:24,NVT,,0,0
2096,17-05-20 16:40,NVT,,0,0
2096,21-05-20 11:22,klein koolwitje,Pieris rapae,4,1
2096,26-05-20 11:36,NVT,,0,0
2096,02-06-20 16:00,NVT,,0,0
2096,12-06-20 11:15,NVT,,0,0
2096,19-06-20 15:10,NVT,,0,0
